accession_numbers,Substrate_ACC,Gene Names,Substrate_GN
NP_001015001,P12532,CKMT1A CKMT; CKMT1B CKMT,CKMT1A
NP_001123476,P12814,ACTN1,ACTN1
NP_005954,P12882,MYH1,MYH1
NP_000248,P12883,MYH7 MYHCB,MYH7
NP_001460,P12956,XRCC6 G22P1,XRCC6
NP_033188,P12961,Scg5 Sgne-1 Sgne1,Scg5
NP_038749,P12970,Rpl7a Surf-3 Surf3,Rpl7a
NP_066964,P13010,XRCC5 G22P2,XRCC5
NP_666232,P13020,Gsn Gsb,Gsn
NP_001852,P13073,COX4I1 COX4,COX4I1
NP_002463,P13535,MYH8,MYH8
NP_001093105,P13541,Myh3 Myhse,Myh3
NP_796343,P13542,Myh8 Myhsp,Myh8
NP_004376,P13611,VCAN CSPG2,VCAN
NP_001952,P13639,EEF2 EF2,EEF2
NP_005941,P13640,MT1G MT1K MT1M,MT1G
NP_000415,P13647,KRT5,KRT5
NP_004902,P13667,PDIA4 ERP70 ERP72,PDIA4
NP_003286,P13693,TPT1,TPT1
NP_000117,P13804,ETFA,ETFA
NP_001967,P13929,ENO3,ENO3
NP_004119,P13984,GTF2F2 RAP30,GTF2F2
NP_006627,P13995,MTHFD2 NMDMC,MTHFD2
NP_035443,P14069,S100a6 Cacy,S100a6
NP_036105,P14115,Rpl27a,Rpl27a
NP_038675,P14131,Rps16,Rps16
NP_035421,P14148,Rpl7,Rpl7
NP_032644,P14152,Mdh1 Mor2,Mdh1
NP_002406,P14174,MIF GLIF MMIF,MIF
NP_035159,P14206,Rpsa Lamr1 P40-8,Rpsa
NP_031617,P14211,Calr,Calr
NP_001995,P14324,FDPS FPS KIAA1293,FDPS
NP_001856,P14406,COX7A2 COX7AL,COX7A2
NP_001193725,P14618,PKM OIP3 PK2 PK3 PKM2,PKM
NP_003290,P14625,HSP90B1 GRP94 TRA1,HSP90B1
NP_033465,P14685,Psmd3 P91a Tstap91a,Psmd3
NP_034851,P14733,Lmnb1,Lmnb1
NP_004960,P14735,IDE,IDE
NP_038500,P14824,Anxa6 Anx6,Anxa6
NP_001854,P14854,COX6B1 COX6B,COX6B1
NP_001524,P14866,HNRNPL HNRPL P/OKcl.14,HNRNPL
NP_032660,P14873,Map1b Mtap1b Mtap5,Map1b
NP_001137292,P14921,ETS1 EWSR2,ETS1
NP_001123478,P15170,GSPT1 ERF3A,GSPT1
NP_000281,P15259,PGAM2 PGAMM,PGAM2
NP_003370,P15311,EZR VIL2,EZR
NP_005993,P15374,UCHL3,UCHL3
NP_937818,P15531,NME1 NDPKA NM23,NME1
NP_032730,P15532,Nme1 Nm23,Nme1
NP_032209,P15626,Gstm2,Gstm2
NP_056601,P15864,H1-2 H1f2 Hist1h1c,H1-2
NP_002943,P15880,RPS2 RPS4,RPS2
NP_001230155,P15884,TCF4 BHLHB19 ITF2 SEF2,TCF4
NP_004406,P15924,DSP,DSP
NP_031632,P16015,Ca3 Car3,Ca3
NP_032521,P16045,Lgals1 Gbp,Lgals1
NP_002096,P16104,H2AX H2AFX,H2AX
NP_032518,P16125,Ldhb Ldh-2 Ldh2,Ldhb
NP_001748,P16152,CBR1 CBR CRN SDR21C1,CBR1
NP_000008,P16219,ACADS,ACADS
NP_005313,P16401,H1-5 H1F5 HIST1H1B,H1-5
NP_005311,P16402,H1-3 H1F3 HIST1H1D,H1-3
NP_005310,P16403,H1-2 H1F2 HIST1H1C,H1-2
NP_002345,P16422,EPCAM GA733-2 M1S2 M4S1 MIC18 TACSTD1 TROP1,EPCAM
NP_031520,P16460,Ass1 Ass,Ass1
NP_038586,P16627,Hspa1l Hsc70t,Hspa1l
NP_032110,P16858,Gapdh Gapd,Gapdh
NP_005554,P16949,STMN1 C1orf215 LAP18 OP18,STMN1
NP_066358,P17017,ZNF14 GIOT4 KOX6,ZNF14
NP_002146,P17066,HSPA6 HSP70B',HSPA6
NP_001160008,P17095,Hmga1 Hmgi Hmgiy,Hmga1
NP_665906,P17096,HMGA1 HMGIY,HMGA1
NP_032327,P17156,Hspa2 Hcp70.2 Hsp70-2,Hspa2
NP_075608,P17182,Eno1 Eno-1,Eno1
NP_001070831,P17225,Ptbp1 Ptb,Ptbp1
NP_031484,P17426,Ap2a1 Adtaa Clapa1,Ap2a1
NP_031485,P17427,Ap2a2 Adtab,Ap2a2
NP_055048,P17480,UBTF UBF UBF1,UBTF
NP_001816,P17540,CKMT2,CKMT2
NP_033176,P17563,Selenbp1 Lpsb,Selenbp1
NP_001918,P17661,DES,DES
NP_005185,P17676,CEBPB TCF5 PP9092,CEBPB
NP_032933,P17742,Ppia,Ppia
NP_033441,P17751,Tpi1 Tpi,Tpi1
NP_004387,P17844,DDX5 G17P1 HELR HLR1,DDX5
NP_002617,P17858,PFKL,PFKL
NP_034608,P17879,Hspa1b Hcp70.1 Hsp70-1 Hsp70a1 Hspa1,Hspa1b
NP_035175,P17918,Pcna,Pcna
NP_002297,P17931,LGALS3 MAC2,LGALS3
NP_002795,P17980,PSMC3 TBP1,PSMC3
NP_110379,P17987,TCP1 CCT1 CCTA,TCP1
NP_000962,P18124,RPL7,RPL7
NP_054706,P18206,VCL,VCL
NP_620305,P18583,SON C21orf50 DBP5 KIAA1019 NREBP HSPC310 HSPC312,SON
NP_032277,P18608,Hmgn1 Hmg-14 Hmg14,Hmgn1
NP_002895,P18615,NELFE RD RDBP,NELFE
NP_000976,P18621,RPL17,RPL17
NP_002620,P18669,PGAM1 PGAMA CDABP0006,PGAM1
NP_031713,P18760,Cfl1,Cfl1
NP_006288,P18887,XRCC1,XRCC1
NP_032014,P19096,Fasn,Fasn
NP_006462,P19105,MYL12A MLCB MRLC3 RLC,MYL12A
NP_033464,P19253,Rpl13a P198 Tstap198-7,Rpl13a
NP_005372,P19338,NCL,NCL
NP_277033,P19367,HK1,HK1
NP_001039329,P19426,Nelfe D17h6s45 Rd Rdbp,Nelfe
NP_003123,P19623,SRM SPS1 SRML1,SRM
NP_001129543,P19973,Lsp1 Pp52 S37 Wp34,Lsp1
NP_071705,P20029,Hspa5 Grp78,Hspa5
NP_003899,P20042,EIF2S2 EIF2B,EIF2S2
NP_067253,P20065,Tmsb4x Ptmb4 Tmsb4,Tmsb4x
NP_004025,P20073,ANXA7 ANX7 SNX OK/SW-cl.95,ANXA7
NP_035831,P20152,Vim,Vim
NP_001228,P20248,CCNA2 CCN1 CCNA,CCNA2
NP_001032726,P20290,BTF3 NACB OK/SW-cl.8,BTF3
NP_002857,P20336,RAB3A,RAB3A
NP_004153,P20339,RAB5A RAB5,RAB5A
NP_002453,P20591,MX1,MX1
NP_066409,P20671,H2AC7 H2AFG HIST1H2AD,H2AC7
NP_005564,P20700,LMNB1 LMN2 LMNB,LMNB1
NP_031582,P20722,Bmp6 Bmp-6 Vgr1,Bmp6
NP_001035905,P20810,CAST,CAST
NP_002815,P20962,PTMS,PTMS
NP_001240667,P21107,Tpm3 Tpm-5 Tpm5,Tpm3
NP_277021,P21127,CDK11B CDC2L1 CDK11 PITSLREA PK58,CDK11B
NP_001180500,P21291,CSRP1 CSRP CYRP,CSRP1
NP_001104026,P21333,FLNA FLN FLN1,FLNA
NP_000231,P21397,MAOA,MAOA
NP_001129534,P21550,Eno3 Eno-3,Eno3
NP_034852,P21619,Lmnb2,Lmnb2
NP_002961,P21673,SAT1 SAT,SAT1
NP_898871,P21953,BCKDHB,BCKDHB
NP_001709,P22004,BMP6 VGR,BMP6
NP_001238978,P22061,PCMT1,PCMT1
NP_001427,P22087,FBL FIB1 FLRN,FBL
NP_001129477,P22102,GART PGFT PRGS,GART
NP_001072993,P22234,PAICS ADE2 AIRC PAIS,PAICS
NP_002970,P22307,SCP2,SCP2
NP_695012,P22314,UBA1 A1S9T UBE1,UBA1
NP_001018146,P22392,NME2 NM23B,NME2
NP_033270,P22599,Serpina1b Aat2 Dom2 Spi1-2,Serpina1b
NP_112533,P22626,HNRNPA2B1 HNRPA2B1,HNRNPA2B1
NP_891993,P22694,PRKACB,PRKACB
NP_003357,P22695,UQCRC2,UQCRC2
NP_031785,P22935,Crabp2,Crabp2
NP_006747,P23193,TCEA1 GTF2S TFIIS,TCEA1
NP_005057,P23246,SFPQ PSF,SFPQ
NP_006262,P23297,S100A1 S100A,S100A1
NP_002387,P23368,ME2,ME2
NP_004175,P23381,WARS1 IFI53 WARS WRS,WARS1
NP_001247435,P23396,RPS3 OK/SW-cl.26,RPS3
NP_032302,P23463,Hoxd8 Hox-4.3 Hoxd-8,Hoxd8
NP_001073860,P23497,SP100,SP100
NP_032812,P23506,Pcmt1,Pcmt1
NP_000678,P23526,AHCY SAHH,AHCY
NP_003518,P23527,H2BC17 H2BFH H2BFN HIST1H2BO,H2BC17
NP_005498,P23528,CFL1 CFL,CFL1
NP_001408,P23588,EIF4B,EIF4B
NP_112478,P23591,Gfus P35b Tsta3 Tstap35b,Gfus
NP_001024,P23921,RRM1 RR1,RRM1
NP_001950,P24534,EEF1B2 EEF1B EF1B,EEF1B2
NP_001679,P24539,ATP5PB ATP5F1,ATP5PB
NP_035960,P24547,Impdh2,Impdh2
NP_000010,P24752,ACAT1 ACAT MAT,ACAT1
NP_006088,P24844,MYL9 MLC2 MRLC1 MYRL2,MYL9
NP_002379,P25205,MCM3,MCM3
NP_032589,P25206,Mcm3 Mcmd Mcmd3,Mcm3
NP_001007,P25398,RPS12,RPS12
NP_032529,P25444,Rps2 Llrep3 Rps4,Rps2
NP_001001937,P25705,ATP5F1A ATP5A ATP5A1 ATP5AL2 ATPM,ATP5F1A
NP_683877,P25786,PSMA1 HC2 NU PROS30 PSC2,PSMA1
NP_002778,P25787,PSMA2 HC3 PSC3,PSMA2
NP_002779,P25788,PSMA3 HC8 PSC8,PSMA3
NP_002780,P25789,PSMA4 HC9 PSC9,PSMA4
NP_002435,P26038,MSN,MSN
NP_035732,P26039,Tln1 Tln,Tln1
NP_033536,P26040,Ezr Vil2,Ezr
NP_034963,P26041,Msn,Msn
NP_033067,P26043,Rdx,Rdx
NP_004388,P26196,DDX6 HLR2 RCK,DDX6
NP_032998,P26350,Ptma,Ptma
NP_001124295,P26358,DNMT1 AIM CXXC9 DNMT,DNMT1
NP_000968,P26373,RPL13 BBC1 OK/SW-cl.46,RPL13
NP_002216,P26440,IVD,IVD
NP_032159,P26443,Glud1 Glud,Glud1
NP_002952,P26447,S100A4 CAPL MTS1,S100A4
NP_001124160,P26583,HMGB2 HMG2,HMGB2
NP_002810,P26599,PTBP1 PTB,PTBP1
NP_001191908,P26638,Sars1 Sars Sers,Sars1
NP_001245367,P26639,TARS1 TARS,TARS1
NP_006286,P26640,VARS1 G7A VARS VARS2,VARS1
NP_001395,P26641,EEF1G EF1G PRO1608,EEF1G
NP_004461,P26885,FKBP2 FKBP13,FKBP2
NP_000889,P27338,MAOB,MAOB
NP_006817,P27348,YWHAQ,YWHAQ
NP_001659,P27540,ARNT BHLHE2,ARNT
NP_001192259,P27546,Map4 Mtap4,Map4
NP_006004,P27635,RPL10 DXS648E QM,RPL10
NP_038790,P27659,Rpl3,Rpl3
NP_034566,P27661,H2ax H2a.x H2afx Hist5-2ax,H2ax
NP_002936,P27694,RPA1 REPA1 RPA70,RPA1
NP_001632,P27695,APEX1 APE APE1 APEX APX HAP1 REF1,APEX1
NP_031978,P27773,Pdia3 Erp Erp60 Grp58,Pdia3
NP_004334,P27797,CALR CRTC,CALR
NP_001127836,P27816,MAP4,MAP4
NP_002788,P28074,PSMB5 LMPX MB1 X,PSMB5
NP_000839,P28161,GSTM2 GST4,GSTM2
NP_000612,P28223,HTR2A HTR2,HTR2A
NP_002849,P28288,ABCD3 PMP70 PXMP1,ABCD3
NP_031447,P28650,Adss1 Adssl1,Adss1
NP_031621,P28652,Camk2b Camk2d,Camk2b
NP_058661,P28660,Nckap1 Hem2 Kiaa0587 Nap1,Nckap1
NP_034937,P28667,Marcksl1 Mlp Mrp,Marcksl1
NP_001257330,P28702,RXRB NR2B2,RXRB
NP_035436,P28704,Rxrb Nr2b2,Rxrb
NP_056991,P28838,LAP3 LAPEP PEPS,LAP3
NP_005504,P29083,GTF2E1 TF2E1,GTF2E1
NP_003282,P29144,TPP2,TPP2
NP_032800,P29341,Pabpc1 Pabp1,Pabpc1
NP_001869,P29373,CRABP2,CRABP2
NP_002883,P29374,ARID4A RBBP1 RBP1,ARID4A
NP_001244957,P29401,TKT,TKT
NP_150241,P29590,PML MYL PP8675 RNF71 TRIM19,PML
NP_032709,P29595,Nedd8 Nedd-8,Nedd8
NP_058197,P29728,OAS2,OAS2
NP_058674,P29758,Oat,Oat
NP_004369,P29762,CRABP1 RBP5,CRABP1
NP_005381,P29803,PDHA2 PDHAL,PDHA2
NP_003739,P30038,ALDH4A1 ALDH4 P5CDH,ALDH4A1
NP_004896,P30041,PRDX6 AOP2 KIAA0106,PRDX6
NP_036226,P30044,PRDX5 ACR1 SBBI10,PRDX5
NP_006784,P30048,PRDX3 AOP1,PRDX3
NP_001678,P30049,ATP5F1D ATP5D,ATP5F1D
NP_000967,P30050,RPL12,RPL12
NP_057392,P30085,CMPK1 CMK CMPK UCK UMK UMPK,CMPK1
NP_002558,P30086,PEBP1 PBP PEBP,PEBP1
NP_005304,P30101,PDIA3 ERP57 ERP60 GRP58,PDIA3
NP_034027,P30275,Ckmt1,Ckmt1
NP_005720,P30405,PPIF CYP3,PPIF
NP_000017,P30566,ADSL AMPS,ADSL
NP_032278,P30681,Hmgb2 Hmg2,Hmgb2
NP_034173,P31001,Des,Des
NP_004159,P31040,SDHA SDH2 SDHF,SDHA
NP_002954,P31151,S100A7 PSOR1 S100A7C,S100A7
NP_005902,P31153,MAT2A AMS2 MATA2,MAT2A
NP_033061,P31266,Rbpj Igkjrb1 Igkrsbp Rbpsuh,Rbpj
NP_071505,P31483,TIA1,TIA1
NP_006725,P31629,HIVEP2,HIVEP2
NP_001530,P31689,DNAJA1 DNAJ2 HDJ2 HSJ2 HSPF4,DNAJA1
NP_031856,P31786,Dbi,Dbi
NP_003395,P31946,YWHAB,YWHAB
NP_006810,P31948,STIP1,STIP1
NP_005611,P31949,S100A11 MLN70 S100C,S100A11
NP_035457,P32020,Scp2 Scp-2,Scp2
NP_005800,P32119,PRDX2 NKEFB TDPX1,PRDX2
NP_008838,P32322,PYCR1,PYCR1
NP_002044,P32455,GBP1,GBP1
NP_035840,P32921,Wars1 Wars Wrs,Wars1
NP_032473,P33175,Kif5a Kiaa4086 Kif5 Nkhc1,Kif5a
NP_001229861,P33241,LSP1 WP34,LSP1
NP_001020419,P33316,DUT,DUT
NP_066406,P33778,H2BC3 H2BFF HIST1H2BB,H2BC3
NP_877423,P33991,MCM4 CDC21,MCM4
NP_006730,P33992,MCM5 CDC46,MCM5
NP_035369,P34022,Ranbp1 Htf9-a Htf9a,Ranbp1
NP_035677,P34056,Tfap2a Ap2tf Tcfap2a,Tfap2a
NP_005403,P34897,SHMT2,SHMT2
NP_005518,P34931,HSPA1L,HSPA1L
NP_002145,P34932,HSPA4 APG2,HSPA4
NP_444252,P35080,PFN2,PFN2
NP_002625,P35232,PHB1 PHB,PHB1
NP_035332,P35235,Ptpn11,Ptpn11
NP_001247421,P35241,RDX,RDX
NP_002907,P35249,RFC4,RFC4
NP_001191676,P35251,RFC1 RFC140,RFC1
NP_000974,P35268,RPL22,RPL22
NP_002087,P35269,GTF2F1 RAP74,GTF2F1
NP_114080,P35276,Rab3d,Rab3d
NP_766400,P35363,Htr2a Htr2,Htr2a
NP_032836,P35486,Pdha1 Pdha-1,Pdha1
NP_032837,P35487,Pdha2 Pdha-2 Pdhal,Pdha2
NP_032017,P35550,Fbl,Fbl
NP_032451,P35561,Kcnj2 Irk1,Kcnj2
NP_002464,P35579,MYH9,MYH9
NP_001242941,P35580,MYH10,MYH10
NP_004951,P35637,FUS TLS,FUS
NP_003463,P35659,DEK,DEK
NP_035164,P35700,Prdx1 Msp23 Paga Tdpx2,Prdx1
NP_003099,P35716,SOX11,SOX11
NP_001035203,P35749,MYH11 KIAA0866,MYH11
NP_001230587,P35754,GLRX GRX,GLRX
NP_112495,P35789,ZNF93 ZNF505,ZNF93
NP_000414,P35908,KRT2 KRT2A KRT2E,KRT2
NP_000182,P35914,HMGCL,HMGCL
NP_033102,P35979,Rpl12,Rpl12
NP_001001973,P36542,ATP5F1C ATP5C ATP5C1 ATP5CL1,ATP5F1C
NP_001687,P36543,ATP6V1E1 ATP6E ATP6E2,ATP6V1E1
NP_000959,P36578,RPL4 RPL1,RPL4
NP_001231903,P36873,PPP1CC,PPP1CC
NP_001005291,P36956,SREBF1 BHLHD1 SREBP1,SREBF1
NP_001924,P36957,DLST DLTS,DLST
NP_001264153,P37802,TAGLN2 KIAA0120 CDABP0035,TAGLN2
NP_035656,P37804,Tagln Sm22 Sm22a,Tagln
NP_006746,P37837,TALDO1 TAL TALDO TALDOR,TALDO1
NP_032280,P38060,Hmgcl,Hmgcl
NP_002130,P38159,RBMX HNRPG RBMXP1,RBMX
NP_009231,P38398,BRCA1 RNF53,BRCA1
NP_004125,P38646,HSPA9 GRP75 HSPA9B mt-HSP70,HSPA9
NP_034611,P38647,Hspa9 Grp75 Hsp74 Hspa9a,Hspa9
NP_055555,P38919,EIF4A3 DDX48 KIAA0111,EIF4A3
NP_001013,P39019,RPS19,RPS19
NP_000958,P39023,RPL3 OK/SW-cl.32,RPL3
NP_001240822,P39054,Dnm2 Dyn2,Dnm2
NP_006296,P39687,ANP32A C15orf1 LANP MAPM PHAP1,ANP32A
NP_004102,P39748,FEN1 RAD2,FEN1
NP_001738,P40121,CAPG AFCP MCP,CAPG
NP_006357,P40123,CAP2,CAP2
NP_031624,P40124,Cap1 Cap,Cap1
NP_033414,P40142,Tkt,Tkt
NP_031716,P40201,Chd1 Chd-1,Chd1
NP_001753,P40227,CCT6A CCT6 CCTZ,CCT6A
NP_036555,P40429,RPL13A,RPL13A
NP_000240,P40692,MLH1 COCA2,MLH1
NP_644805,P40763,STAT3 APRF,STAT3
NP_001186040,P40925,MDH1 MDHA,MDH1
NP_000173,P40939,HADHA HADH,HADHA
NP_033107,P41105,Rpl28,Rpl28
NP_001138784,P41162,ETV3 METS PE1,ETV3
NP_006253,P41219,PRPH NEF4 PRPH1,PRPH
NP_003482,P41227,NAA10 ARD1 ARD1A TE2,NAA10
NP_002038,P41250,GARS1 GARS,GARS1
NP_002152,P41252,IARS1 IARS,IARS1
NP_034153,P42125,Eci1 Dci,Eci1
NP_001910,P42126,ECI1 DCI,ECI1
NP_001027454,P42167,TMPO LAP2,TMPO
NP_009330,P42224,STAT1,STAT1
NP_998824,P42227,Stat3 Aprf,Stat3
NP_056175,P42285,MTREX DOB1 KIAA0052 MTR4 SKIV2L2,MTREX
NP_004520,P42568,MLLT3 AF9 YEATS3,MLLT3
NP_004337,P42574,CASP3 CPP32,CASP3
NP_033015,P42669,Pura,Pura
NP_573566,P42704,LRPPRC LRP130,LRPPRC
NP_006102,P42765,ACAA2,ACAA2
NP_009140,P42766,RPL35,RPL35
NP_033970,P42932,Cct8 Cctq,Cct8
NP_061322,P43243,MATR3 KIAA0723,MATR3
NP_056602,P43274,H1-4 H1f4 Hist1h1e,H1-4
NP_085112,P43275,H1-1 H1a H1f1 Hist1h1a,H1-1
NP_064418,P43276,H1-5 H1f5 Hist1h1b,H1-5
NP_663759,P43277,H1-3 H1f3 Hist1h1d,H1-3
NP_001265568,P43487,RANBP1,RANBP1
NP_005737,P43490,NAMPT PBEF PBEF1,NAMPT
NP_031714,P45591,Cfl2,Cfl2
NP_032046,P45878,Fkbp2 Fkbp13,Fkbp2
NP_001171712,P45880,VDAC2,VDAC2
NP_001600,P45954,ACADSB,ACADSB
NP_001092006,P45974,USP5 ISOT,USP5
NP_002408,P46013,MKI67,MKI67
NP_002874,P46060,RANGAP1 KIAA1835 SD,RANGAP1
NP_035371,P46061,Rangap1 Fug1,Rangap1
NP_001245238,P46087,NOP2 NOL1 NSUN1,NOP2
NP_659731,P46734,MAP2K3 MEK3 MKK3 PRKMK3 SKK2,MAP2K3
NP_000981,P46776,RPL27A,RPL27A
NP_000960,P46777,RPL5 MSTP030,RPL5
NP_000973,P46778,RPL21,RPL21
NP_001129607,P46779,RPL28,RPL28
NP_001000,P46782,RPS5,RPS5
NP_001005,P46783,RPS10,RPS10
NP_005900,P46821,MAP1B,MAP1B
NP_001123617,P46937,YAP1 YAP65,YAP1
NP_031630,P47754,Capza2 Cappa2,Capza2
NP_006127,P47755,CAPZA2,CAPZA2
NP_034474,P47791,Gsr Gr1,Gsr
NP_001156960,P47857,Pfkm Pfk-m Pfka,Pfkm
NP_005042,P47897,QARS1 QARS,QARS1
NP_035420,P47911,Rpl6,Rpl6
NP_033108,P47915,Rpl29 Rpl43,Rpl29
NP_031786,P47934,Crat,Crat
NP_058676,P47962,Rpl5,Rpl5
NP_058018,P47963,Rpl13,Rpl13
NP_061200,P47964,Rpl36,Rpl36
NP_033803,P48036,Anxa5 Anx5,Anxa5
NP_001688,P48047,ATP5PO ATP5O ATPO,ATP5PO
NP_002386,P48163,ME1,ME1
NP_005019,P48426,PIP4K2A PI5P4KA PIP5K2 PIP5K2A,PIP4K2A
NP_000337,P48436,SOX9,SOX9
NP_001646,P48444,ARCN1 COPD,ARCN1
NP_002052,P48507,GCLM GLCLR,GCLM
NP_002803,P48556,PSMD8,PSMD8
NP_542417,P48634,PRRC2A BAT2 G2,PRRC2A
NP_036205,P48643,CCT5 CCTE KIAA0098,CCT5
NP_775109,P48668,KRT6C KRT6E,KRT6C
NP_001002011,P48678,Lmna Lmn1,Lmna
NP_002159,P48735,IDH2,IDH2
NP_031646,P48758,Cbr1 Cbr,Cbr1
NP_031476,P48962,Slc25a4 Aac1 Anc1 Ant1,Slc25a4
NP_075385,P49006,MARCKSL1 MLP MRP,MARCKSL1
NP_000687,P49189,ALDH9A1 ALDH4 ALDH7 ALDH9,ALDH9A1
NP_000986,P49207,RPL34,RPL34
NP_034577,P49312,Hnrnpa1 Fli-2 Hnrpa1 Tis,Hnrnpa1
NP_002473,P49321,NASP,NASP
NP_004095,P49327,FASN FAS,FASN
NP_005989,P49368,CCT3 CCTG TRIC5,CCT3
NP_003312,P49411,TUFM,TUFM
NP_001626,P49418,AMPH AMPH1,AMPH
NP_001173,P49419,ALDH7A1 ATQ1,ALDH7A1
NP_036216,P49448,GLUD2 GLUDP1,GLUD2
NP_003124,P49458,SRP9,SRP9
NP_005008,P49585,PCYT1A CTPCT PCYT1,PCYT1A
NP_001014437,P49589,CARS1 CARS,CARS1
NP_006504,P49591,SARS1 SARS SERS,SARS1
NP_031694,P49615,Cdk5 Cdkn5 Crk6 PSSALRE,Cdk5
NP_006556,P49711,CTCF,CTCF
NP_032591,P49717,Mcm4 Cdc21 Mcmd4,Mcm4
NP_002786,P49720,PSMB3,PSMB3
NP_032970,P49722,Psma2 Lmpc3,Psma2
NP_001257376,P49748,ACADVL VLCAD,ACADVL
NP_062535,P49750,YLPM1 C14orf170 ZAP3,YLPM1
NP_006812,P49753,ACOT2 PTE2 PTE2A,ACOT2
NP_067062,P49756,RBM25 RNPC7,RBM25
NP_005331,P49773,HINT1 HINT PKCI1 PRKCNH1,HINT1
NP_009034,P49821,NDUFV1 UQOR1,NDUFV1
NP_036361,P49902,NT5C2 NT5B NT5CP PNT5,NT5C2
NP_036379,P49903,SEPHS1 SELD SPS SPS1,SEPHS1
NP_003866,P49915,GMPS,GMPS
NP_039269,P49916,LIG3,LIG3
NP_005582,P49959,MRE11 HNGS1 MRE11A,MRE11
NP_036188,P49962,Srp9,Srp9
NP_005521,P50213,IDH3A,IDH3A
NP_001302,P50238,CRIP1 CRIP CRP1,CRIP1
NP_057870,P50247,Ahcy,Ahcy
NP_001485,P50395,GDI2 RABGDIB,GDI2
NP_001473,P50440,GATM AGAT,GATM
NP_032502,P50446,Krt6a Ker2 Krt2-6 Krt2-6a Krt6,Krt6a
NP_003923,P50502,ST13 AAG2 FAM10A1 HIP SNC6,ST13
NP_031536,P50518,Atp6v1e1 Atp6e Atp6e2,Atp6v1e1
NP_058020,P50543,S100a11 S100c,S100a11
NP_059062,P50544,Acadvl Vlcad,Acadvl
NP_006485,P50548,ERF,ERF
NP_001005360,P50570,DNM2 DYN2,DNM2
NP_035249,P50580,Pa2g4 Ebp1 Plfap,Pa2g4
NP_003964,P50914,RPL14,RPL14
NP_006576,P50990,CCT8 C21orf112 CCTQ KIAA0002,CCT8
NP_006421,P50991,CCT4 CCTD SRB,CCT4
NP_004628,P51149,RAB7A RAB7,RAB7A
NP_033031,P51150,Rab7a Rab7,Rab7a
NP_006195,P51160,PDE6C PDEA2,PDE6C
NP_004385,P51397,DAP DAP1,DAP
NP_387506,P51398,DAP3 MRPS29,DAP3
NP_003063,P51532,SMARCA4 BAF190A BRG1 SNF2B SNF2L4,SMARCA4
NP_001132929,P51572,BCAP31 BAP31 DXS1357E,BCAP31
NP_001104262,P51608,MECP2,MECP2
NP_005325,P51610,HCFC1 HCF1 HFC1,HCFC1
NP_733936,P51649,ALDH5A1 SSADH,ALDH5A1
NP_004061,P51800,CLCNKA,CLCNKA
NP_001160165,P51825,AFF1 AF4 FEL MLLT2 PBM1,AFF1
NP_036385,P51854,TKTL1 TKR TKT2,TKTL1
NP_032257,P51859,Hdgf Tdrm1,Hdgf
NP_031477,P51881,Slc25a5 Aac2 Ant2,Slc25a5
NP_032550,P51885,Lum Lcn Ldc,Lum
NP_032677,P51960,Mybl1 Amyb,Mybl1
NP_003332,P51965,UBE2E1 UBCH6,UBE2E1
NP_919223,P51991,HNRNPA3 HNRPA3,HNRNPA3
NP_033463,P52196,Tst,Tst
NP_002622,P52209,PGD PGDH,PGD
NP_005959,P52272,HNRNPM HNRPM NAGR1,HNRNPM
NP_031388,P52298,NCBP2 CBP20 PIG55,NCBP2
NP_001265627,P52434,POLR2H,POLR2H
NP_035229,P52480,Pkm Pk3 Pkm2 Pykm,Pkm
NP_033481,P52482,Ube2e1 Ubce5 Ubcm3,Ube2e1
NP_004300,P52565,ARHGDIA GDIA1,ARHGDIA
NP_001166,P52566,ARHGDIB GDIA2 GDID4 RAP1GN1,ARHGDIB
NP_004957,P52597,HNRNPF HNRPF,HNRNPF
NP_000170,P52701,MSH6 GTBP,MSH6
NP_003433,P52747,ZNF143 SBF STAF,ZNF143
NP_005827,P52758,RIDA HRSP12,RIDA
NP_002940,P52815,MRPL12 MRPL7 RPML12,MRPL12
NP_003240,P52888,THOP1,THOP1
NP_006126,P52907,CAPZA1,CAPZA1
NP_035715,P52912,Tia1 Tia,Tia1
NP_003474,P52926,HMGA2 HMGIC,HMGA2
NP_034571,P52927,Hmga2 Hmgic,Hmga2
NP_001303,P52943,CRIP2 CRP2,CRIP2
NP_001240752,P53004,BLVRA BLVR BVR,BLVRA
NP_005975,P53007,SLC25A1 SLC20A3,SLC25A1
NP_006238,P53041,PPP5C PPP5,PPP5C
NP_001087,P53396,ACLY,ACLY
NP_001239225,P53567,CEBPG,CEBPG
NP_003840,P53597,SUCLG1,SUCLG1
NP_057535,P53618,COPB1 COPB MSTP026,COPB1
NP_001091868,P53621,COPA,COPA
NP_001026971,P53671,LIMK2,LIMK2
NP_009029,P53675,CLTCL1 CLH22 CLTCL CLTD,CLTCL1
NP_001032826,P53762,Arnt,Arnt
NP_003307,P53804,TTC3 DCRR1 RNF105 TPRD,TTC3
NP_001193946,P53814,SMTN SMSMO,SMTN
NP_004913,P53992,SEC24C KIAA0079,SEC24C
NP_038521,P53996,Cnbp Cnbp1 Znf9,Cnbp
NP_006704,P53999,SUB1 PC4 RPO2TC1,SUB1
NP_766599,P54071,Idh2,Idh2
NP_002878,P54136,RARS1 RARS,RARS1
NP_003316,P54198,HIRA DGCR1 HIR TUPLE1,HIRA
